iter	Passed	Remaining
0	28	56989
1	58	58215
2	84	56450
3	111	55481
4	137	54837
5	165	54910
6	191	54540
7	217	54229
8	243	53825
9	270	53746
10	298	54011
11	326	54172
12	356	54526
13	383	54366
14	411	54504
15	439	54448
16	464	54230
17	494	54452
18	528	55105
19	571	56536
20	602	56770
21	630	56706
22	658	56631
23	687	56629
24	713	56364
25	743	56482
26	776	56744
27	803	56586
28	829	56353
29	856	56232
30	882	56084
31	911	56041
32	937	55872
33	970	56121
34	997	56027
35	1025	55931
36	1054	55930
37	1080	55791
38	1114	56052
39	1142	55984
40	1169	55870
41	1196	55773
42	1223	55685
43	1250	55611
44	1278	55551
45	1310	55671
46	1341	55755
47	1373	55837
48	1399	55726
49	1437	56045
50	1463	55915
51	1493	55937
52	1519	55806
53	1546	55732
54	1582	55957
55	1608	55854
56	1638	55857
57	1664	55731
58	1691	55631
59	1718	55575
60	1751	55665
61	1779	55636
62	1811	55698
63	1841	55714
64	1866	55573
65	1897	55613
66	1930	55695
67	1956	55592
68	1987	55623
69	2013	55501
70	2040	55442
71	2075	55568
72	2104	55546
73	2137	55645
74	2163	55534
75	2193	55523
76	2225	55583
77	2260	55695
78	2288	55639
79	2319	55658
80	2346	55600
81	2373	55521
82	2400	55442
83	2433	55515
84	2468	55618
85	2506	55773
86	2536	55766
87	2572	55899
88	2610	56048
89	2639	56017
90	2670	56023
91	2702	56040
92	2730	55989
93	2758	55942
94	2791	55984
95	2829	56111
96	2861	56135
97	2900	56294
98	2930	56278
99	2964	56321
100	2998	56370
101	3027	56335
102	3068	56516
103	3103	56579
104	3131	56507
105	3165	56552
106	3197	56561
107	3227	56537
108	3257	56504
109	3290	56535
110	3324	56569
111	3363	56694
112	3392	56654
113	3422	56620
114	3450	56558
115	3481	56537
116	3512	56526
117	3538	56430
118	3567	56397
119	3595	56328
120	3629	56361
121	3655	56271
122	3684	56224
123	3710	56129
124	3741	56119
125	3774	56135
126	3802	56075
127	3836	56106
128	3863	56030
129	3895	56028
130	3922	55963
131	3952	55937
132	3985	55950
133	4015	55917
134	4043	55861
135	4074	55841
136	4105	55828
137	4135	55804
138	4170	55841
139	4197	55761
140	4229	55769
141	4260	55740
142	4289	55703
143	4321	55698
144	4347	55618
145	4380	55627
146	4411	55613
147	4436	55518
148	4463	55451
149	4494	55436
150	4526	55425
151	4558	55424
152	4586	55365
153	4619	55372
154	4648	55330
155	4675	55269
156	4716	55366
157	4752	55401
158	4787	55436
159	4815	55378
160	4843	55329
161	4875	55316
162	4903	55258
163	4930	55197
164	4957	55133
165	4989	55119
166	5022	55128
167	5054	55123
168	5083	55073
169	5115	55068
170	5151	55097
171	5184	55095
172	5213	55060
173	5259	55192
174	5292	55193
175	5323	55165
176	5356	55173
177	5391	55186
178	5423	55174
179	5456	55171
180	5487	55146
181	5516	55104
182	5547	55079
183	5578	55060
184	5609	55035
185	5648	55088
186	5676	55035
187	5709	55031
188	5738	54986
189	5771	54976
190	5802	54959
191	5832	54920
192	5860	54874
193	5888	54813
194	5920	54802
195	5953	54795
196	5990	54824
197	6018	54778
198	6053	54783
199	6081	54733
200	6110	54694
201	6150	54741
202	6180	54708
203	6215	54721
204	6251	54737
205	6281	54707
206	6311	54669
207	6338	54612
208	6371	54597
209	6397	54527
210	6426	54485
211	6454	54433
212	6483	54392
213	6510	54339
214	6541	54312
215	6571	54279
216	6600	54233
217	6629	54192
218	6656	54132
219	6691	54138
220	6719	54093
221	6749	54057
222	6780	54030
223	6812	54010
224	6842	53976
225	6870	53928
226	6899	53890
227	6930	53859
228	6961	53840
229	6989	53790
230	7020	53760
231	7053	53751
232	7088	53754
233	7119	53734
234	7152	53722
235	7183	53694
236	7214	53668
237	7244	53634
238	7272	53583
239	7302	53554
240	7334	53529
241	7366	53512
242	7394	53467
243	7422	53419
244	7450	53369
245	7480	53338
246	7515	53335
247	7550	53337
248	7579	53298
249	7610	53273
250	7642	53253
251	7676	53245
252	7706	53211
253	7737	53186
254	7772	53186
255	7800	53144
256	7833	53130
257	7864	53097
258	7894	53067
259	7931	53080
260	7963	53058
261	7990	53007
262	8022	52983
263	8056	52979
264	8086	52941
265	8117	52918
266	8149	52894
267	8181	52876
268	8212	52848
269	8243	52821
270	8275	52798
271	8312	52811
272	8350	52825
273	8380	52790
274	8411	52760
275	8439	52717
276	8469	52679
277	8500	52656
278	8532	52634
279	8567	52631
280	8595	52580
281	8622	52529
282	8655	52511
283	8688	52498
284	8726	52513
285	8760	52499
